sy_snum,sy_pnum,discoverymethod,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,pl_eqt,st_spectype,st_teff,st_rad,st_mass,st_met,st_logg,ra,dec,sy_dist,sy_vmag,sy_kmag,sy_gaiamag,pl_bmasse_missing,pl_rade_missing,pl_orbper_missing,pl_orbsmax_missing,pl_orbeccen_missing,st_teff_missing,st_rad_missing,st_mass_missing,st_met_missing,st_logg_missing,sy_dist_missing,ra_missing,dec_missing,pl_bmasse_log,pl_rade_log,pl_orbper_log,pl_orbsmax_log,pl_eqt_log,sy_dist_log,st_mass_log,st_rad_log,st_teff_log
1,1,Other,11.267014645,156.0,16.141,4417.837,0.086,903.0,M6,3064.0,0.28,0.11,0.02,4.59,34.8427046,-39.4230767,399.02549999999997,13.4165,10.404,15.0123,0,0,1,0,1,0,0,0,1,0,1,0,0,8.393631818277086,2.84147325452492,2.5069139239033302,5.056245805348308,6.806829360392176,5.991528295076037,0.10436001532424277,0.2468600779315258,8.027802848370312
2,1,Other,11.267014645,1950.0,2.4,3686.80952,0.086,903.0,M6 V,5551.0,0.95,0.05,0.02,4.46,42.4851627,-5.9599921,66.0613,18.3,11.055,15.6894,0,1,1,0,1,1,1,0,1,1,0,0,0,8.212787934752628,1.2237754316221157,2.5069139239033302,7.576097340623111,6.806829360392176,4.205607126474997,0.048790164169432,0.6678293725756554,8.62191350218664
1,1,Other,11.267014645,572.0,2.4,5720.91133,0.086,2369.0,Unknown,5551.0,0.95,0.95,0.02,4.46,59.7911026,20.1599759,117.435,13.4165,12.533,16.9967,0,1,1,0,1,1,1,1,1,1,0,0,0,8.652058177160031,1.2237754316221157,2.5069139239033302,6.35088571671474,7.7706452341291765,4.774364286874545,0.6678293725756554,0.6678293725756554,8.62191350218664
1,1,Other,11.267014645,15.0,2.4,2383.6,0.086,903.0,M8.5,5551.0,0.95,0.02,0.02,4.46,70.4371079,23.0308544,399.02549999999997,13.4165,13.161,18.9668,0,1,1,0,1,1,1,0,1,1,1,0,0,7.7767866743720315,1.2237754316221157,2.5069139239033302,2.772588722239781,6.806829360392176,5.991528295076037,0.019802627296179712,0.6678293725756554,8.62191350218664
1,1,Other,11.267014645,266.0,2.4,8899.1954,0.086,2677.0,Unknown,5551.0,0.95,0.95,0.02,4.46,165.3295388,-77.5440912,399.02549999999997,13.4165,11.632,18.3299,0,1,1,0,1,1,1,1,1,1,1,0,0,9.093828510535403,1.2237754316221157,2.5069139239033302,5.58724865840025,7.8928255262511176,5.991528295076037,0.6678293725756554,0.6678293725756554,8.62191350218664
1,1,Other,11.267014645,587.0,2.4,6356.56814,0.086,2506.0,Unknown,5551.0,0.95,0.95,0.02,4.46,178.7691634,-79.3197558,100.862,16.957,10.079,14.818,0,1,1,0,1,1,1,1,1,1,0,0,0,8.757401215288384,1.2237754316221157,2.5069139239033302,6.376726947898627,7.826842098158293,4.623618956056552,0.6678293725756554,0.6678293725756554,8.62191350218664
1,1,Other,11.267014645,55.0,2.4,1589.15,0.086,1250.0,M8,5551.0,0.95,0.02,0.02,4.46,181.8890906,-39.5484399,64.308,13.4165,11.945,17.4076,0,1,1,0,1,1,1,0,1,1,0,0,0,7.371583630387216,1.2237754316221157,2.5069139239033302,4.02535169073515,7.1316985104669115,4.179114540263918,0.019802627296179712,0.6678293725756554,8.62191350218664
2,3,Other,406.0,0.1159,2.4,591.16084,0.33,903.0,Unknown,29564.0,0.2,0.48,0.02,5.51,294.6359173,46.0664076,396.332,12.651,12.955,12.1376,0,1,0,1,0,0,0,0,1,0,0,0,0,6.383778287172371,1.2237754316221157,6.008813185442595,0.10966125420951849,6.806829360392176,5.984772203246857,0.3920420877760237,0.18232155679395465,10.29434650825493
1,1,Other,11.267014645,7493.0,2.4,3813.94088,0.086,1616.0,Unknown,5551.0,0.95,0.95,0.02,4.46,321.3662989,-81.6414894,34.1154,11.804,7.341,10.8133,0,1,1,0,1,1,1,1,1,1,0,0,0,8.246680446875022,1.2237754316221157,2.5069139239033302,8.921857979353632,7.388327859577107,3.558639780689491,0.6678293725756554,0.6678293725756554,8.62191350218664
1,1,Other,11.267014645,230.0,2.4,3972.875,0.086,903.0,K7 V,4045.0,0.95,0.6,0.02,4.46,339.1025931,47.861683,69.5737,12.368,9.148,11.9484,0,1,1,0,1,0,1,0,1,1,0,0,0,8.28749696816311,1.2237754316221157,2.5069139239033302,5.442417710521793,6.806829360392176,4.256657553849461,0.4700036292457356,0.6678293725756554,8.305484017727691
4,1,Radial Velocity,335.10001,0.99,2.4,4392.4106,0.29,903.0,Unknown,6331.0,1.41,1.93,0.19,4.43,39.2412736,24.6480103,44.657,7.09209,5.822,6.96085,0,1,0,0,0,0,0,0,0,0,0,0,0,8.387861106487149,1.2237754316221157,5.817408764484109,0.688134638736401,6.806829360392176,3.821156935920772,1.0750024230289759,0.8796267475025635,8.753371421000903
1,1,Radial Velocity,270.27,0.877,2.4,2511.48007,0.453,903.0,K1 III,4415.0,18.11,1.23,-0.25,1.8,130.0528099,64.3280504,73.4603,4.5801,1.734,4.23773,0,1,0,0,0,0,0,0,0,0,0,0,0,7.829025619997561,1.2237754316221157,5.60311463485544,0.6296747576043717,6.806829360392176,4.310266097445318,0.8020015854720274,2.950211758252182,8.392989587956931
